cls,file,low,high,perc,conf_base,conf_guitar
guitar,05_SS2-88-F_comp_mic.wav,0.0054,0.0001,0.1973,0.9007,0.9274
guitar,05_SS3-84-Bb_solo_mic.wav,0.0062,0.0451,0.6057,0.9719,0.7141
mix:blues,blues.00000.wav,0.0743,0.0055,0.5819,0.5479,0.6814
mix:blues,blues.00001.wav,0.2083,0.0083,0.5689,0.7000,0.8219
mix:blues,blues.00002.wav,0.0181,0.0034,0.5434,0.6026,0.8547
mix:blues,blues.00003.wav,0.0854,0.0009,0.4791,0.4815,0.6804
mix:blues,blues.00004.wav,0.0004,0.0222,0.6006,0.6209,0.6105
mix:blues,blues.00005.wav,0.0023,0.0673,0.5635,0.7032,0.5032
mix:blues,blues.00006.wav,0.0038,0.0066,0.5711,0.6448,0.7927
mix:blues,blues.00007.wav,0.0006,0.0069,0.5426,0.7273,0.8261
mix:blues,blues.00008.wav,0.1657,0.0075,0.5203,0.3549,0.8347
mix:blues,blues.00009.wav,0.0053,0.0081,0.5184,0.4609,0.8124
mix:blues,blues.00010.wav,0.0085,0.0039,0.5110,0.4502,0.4354
mix:blues,blues.00011.wav,0.1092,0.0022,0.4870,0.7472,0.8867
mix:blues,blues.00012.wav,0.0191,0.0009,0.5235,0.4581,0.3316
mix:blues,blues.00013.wav,0.0381,0.0004,0.4614,0.6722,0.5097
mix:blues,blues.00014.wav,0.0862,0.0010,0.5358,0.4466,0.5331
mix:blues,blues.00015.wav,0.0273,0.0014,0.6167,0.5527,0.7382
mix:blues,blues.00016.wav,0.0476,0.0013,0.5790,0.6045,0.3772
mix:blues,blues.00017.wav,0.0643,0.0007,0.5159,0.7327,0.7357
mix:blues,blues.00018.wav,0.0480,0.0010,0.4600,0.6999,0.6381
mix:blues,blues.00019.wav,0.0315,0.0008,0.5520,0.8393,0.7169
mix:classical,classical.00000.wav,0.0191,0.0015,0.2525,0.5033,0.6989
mix:classical,classical.00001.wav,0.0105,0.0009,0.1541,0.5851,0.7386
mix:classical,classical.00002.wav,0.0449,0.0015,0.2788,0.6537,0.8099
mix:classical,classical.00003.wav,0.0351,0.0014,0.1471,0.7416,0.8678
mix:classical,classical.00004.wav,0.0071,0.0037,0.2094,0.5083,0.7234
mix:classical,classical.00005.wav,0.0325,0.0013,0.2879,0.6618,0.7848
mix:classical,classical.00006.wav,0.0197,0.0018,0.1738,0.5460,0.7615
mix:classical,classical.00007.wav,0.0226,0.0015,0.2680,0.4961,0.7634
mix:classical,classical.00008.wav,0.0593,0.0016,0.2527,0.5637,0.7879
mix:classical,classical.00009.wav,0.0925,0.0007,0.1504,0.6066,0.6805
mix:classical,classical.00010.wav,0.0348,0.0016,0.2782,0.7013,0.8295
mix:classical,classical.00011.wav,0.0705,0.0001,0.1636,0.8233,0.8223
mix:classical,classical.00012.wav,0.0298,0.0002,0.1469,0.7829,0.9067
mix:classical,classical.00013.wav,0.0096,0.0013,0.2795,0.8374,0.8872
mix:classical,classical.00014.wav,0.0063,0.0012,0.2807,0.7807,0.7544
mix:classical,classical.00015.wav,0.0830,0.0005,0.1478,0.7964,0.8492
mix:classical,classical.00016.wav,0.0313,0.0011,0.1997,0.5770,0.8286
mix:classical,classical.00017.wav,0.0028,0.0013,0.3011,0.5792,0.7602
mix:classical,classical.00018.wav,0.0115,0.0002,0.1847,0.2123,0.4860
mix:classical,classical.00019.wav,0.0748,0.0004,0.2208,0.6800,0.8019
mix:country,country.00000.wav,0.1729,0.0215,0.4231,0.8289,0.8419
mix:country,country.00001.wav,0.0940,0.0257,0.4421,0.7784,0.9029
mix:country,country.00002.wav,0.0639,0.0108,0.4928,0.9140,0.9001
mix:country,country.00003.wav,0.1311,0.0107,0.4286,0.7805,0.9335
mix:country,country.00004.wav,0.1432,0.0251,0.4339,0.8468,0.9089
mix:country,country.00005.wav,0.2412,0.0255,0.4806,0.9365,0.8529
mix:country,country.00006.wav,0.0954,0.0314,0.4529,0.9019,0.9005
mix:country,country.00007.wav,0.1988,0.0297,0.4094,0.8164,0.9148
mix:country,country.00008.wav,0.2172,0.0164,0.3802,0.8592,0.9009
mix:country,country.00009.wav,0.1412,0.0399,0.4429,0.8432,0.9149
mix:country,country.00010.wav,0.0544,0.0044,0.4112,0.7297,0.8559
mix:country,country.00011.wav,0.0442,0.0323,0.4956,0.7480,0.9105
mix:country,country.00012.wav,0.0330,0.0038,0.4513,0.8698,0.9238
mix:country,country.00013.wav,0.0442,0.0213,0.5523,0.7364,0.7820
mix:country,country.00014.wav,0.0733,0.0456,0.5585,0.8763,0.8976
mix:country,country.00015.wav,0.0102,0.0106,0.4559,0.7214,0.7437
mix:country,country.00016.wav,0.0005,0.0022,0.4360,0.7988,0.8757
mix:country,country.00017.wav,0.0678,0.0024,0.3775,0.8797,0.9466
mix:country,country.00018.wav,0.0442,0.0078,0.4299,0.7470,0.9220
mix:country,country.00019.wav,0.0195,0.0002,0.3664,0.5558,0.7533
mix:disco,disco.00000.wav,0.1319,0.0174,0.6122,0.7742,0.8557
mix:disco,disco.00001.wav,0.0528,0.0519,0.6268,0.6305,0.8697
mix:disco,disco.00002.wav,0.0685,0.0537,0.5456,0.6552,0.7756
mix:disco,disco.00003.wav,0.1838,0.0548,0.5897,0.5595,0.7347
mix:disco,disco.00004.wav,0.1287,0.0401,0.5637,0.9255,0.9589
mix:disco,disco.00005.wav,0.1056,0.0230,0.5691,0.7158,0.8573
mix:disco,disco.00006.wav,0.0498,0.0238,0.5309,0.8686,0.7782
mix:disco,disco.00007.wav,0.2407,0.0490,0.6119,0.7491,0.7793
mix:disco,disco.00008.wav,0.1885,0.0232,0.6273,0.7791,0.8489
mix:disco,disco.00009.wav,0.0344,0.0718,0.6413,0.6340,0.8711
mix:disco,disco.00010.wav,0.1429,0.0286,0.5593,0.4726,0.5926
mix:disco,disco.00011.wav,0.0193,0.0440,0.5916,0.8566,0.6026
mix:disco,disco.00012.wav,0.3233,0.0216,0.6330,0.6140,0.7443
mix:disco,disco.00013.wav,0.0780,0.0636,0.5902,0.5904,0.9007
mix:disco,disco.00014.wav,0.0633,0.0439,0.5455,0.7542,0.8781
mix:disco,disco.00015.wav,0.0527,0.0204,0.4819,0.5552,0.5718
mix:disco,disco.00016.wav,0.2163,0.0196,0.5987,0.7496,0.7433
mix:disco,disco.00017.wav,0.0881,0.0259,0.6534,0.7805,0.6776
mix:disco,disco.00018.wav,0.0893,0.0421,0.6409,0.6088,0.5447
mix:disco,disco.00019.wav,0.0387,0.0218,0.5861,0.7871,0.8747
mix:hiphop,hiphop.00000.wav,0.1034,0.0528,0.6675,0.5011,0.6713
mix:hiphop,hiphop.00001.wav,0.2117,0.0381,0.6767,0.4770,0.7127
mix:hiphop,hiphop.00002.wav,0.0932,0.0062,0.6440,0.7042,0.8799
mix:hiphop,hiphop.00003.wav,0.2305,0.0232,0.7110,0.3995,0.8646
mix:hiphop,hiphop.00004.wav,0.5263,0.0171,0.6716,0.8461,0.8824
mix:hiphop,hiphop.00005.wav,0.1577,0.0360,0.6038,0.8235,0.8001
mix:hiphop,hiphop.00006.wav,0.3647,0.0406,0.7065,0.8525,0.8164
mix:hiphop,hiphop.00007.wav,0.3090,0.0124,0.6285,0.6823,0.7590
mix:hiphop,hiphop.00008.wav,0.4267,0.0325,0.6698,0.6257,0.5563
mix:hiphop,hiphop.00009.wav,0.2588,0.0198,0.6242,0.9891,0.3801
mix:hiphop,hiphop.00010.wav,0.0743,0.0100,0.6456,0.9935,0.5314
mix:hiphop,hiphop.00011.wav,0.0336,0.0104,0.6560,0.5276,0.6036
mix:hiphop,hiphop.00012.wav,0.1336,0.0090,0.5954,0.4938,0.3347
mix:hiphop,hiphop.00013.wav,0.0337,0.0126,0.5873,0.3819,0.5089
mix:hiphop,hiphop.00014.wav,0.1476,0.0252,0.5688,0.9148,0.7615
mix:hiphop,hiphop.00015.wav,0.1687,0.0206,0.6024,0.7431,0.7689
mix:hiphop,hiphop.00016.wav,0.3745,0.0149,0.7009,0.8443,0.7140
mix:hiphop,hiphop.00017.wav,0.3019,0.0118,0.6543,0.5432,0.3744
mix:hiphop,hiphop.00018.wav,0.1408,0.0290,0.7485,0.9850,0.5182
mix:hiphop,hiphop.00019.wav,0.0466,0.0645,0.7664,0.2714,0.6868
mix:jazz,jazz.00000.wav,0.0078,0.0142,0.5336,0.8272,0.6126
mix:jazz,jazz.00001.wav,0.0964,0.0052,0.4266,0.4946,0.7870
mix:jazz,jazz.00002.wav,0.0001,0.0003,0.2352,0.6570,0.7443
mix:jazz,jazz.00003.wav,0.0294,0.0003,0.2691,0.6496,0.7778
mix:jazz,jazz.00004.wav,0.0566,0.0005,0.2095,0.7213,0.8752
mix:jazz,jazz.00005.wav,0.0378,0.0022,0.3911,0.3823,0.5485
mix:jazz,jazz.00006.wav,0.0236,0.0018,0.3933,0.4921,0.8102
mix:jazz,jazz.00007.wav,0.0223,0.0007,0.2662,0.7610,0.7977
mix:jazz,jazz.00008.wav,0.1533,0.0010,0.3643,0.6438,0.6660
mix:jazz,jazz.00009.wav,0.0901,0.0001,0.1950,0.5750,0.7771
mix:jazz,jazz.00010.wav,0.0445,0.0004,0.2224,0.6624,0.8026
mix:jazz,jazz.00011.wav,0.0271,0.0034,0.3877,0.5527,0.5190
mix:jazz,jazz.00012.wav,0.0354,0.0032,0.4229,0.5014,0.4928
mix:jazz,jazz.00013.wav,0.0928,0.0049,0.4467,0.4815,0.5808
mix:jazz,jazz.00014.wav,0.0008,0.0008,0.2291,0.3782,0.6850
mix:jazz,jazz.00015.wav,0.0418,0.0035,0.4913,0.5806,0.5702
mix:jazz,jazz.00016.wav,0.0268,0.0015,0.2329,0.5193,0.6538
mix:jazz,jazz.00017.wav,0.0405,0.0035,0.5586,0.5863,0.6723
mix:jazz,jazz.00018.wav,0.0558,0.0057,0.3570,0.6105,0.6255
mix:jazz,jazz.00019.wav,0.0598,0.0009,0.2869,0.5795,0.6602
mix:metal,metal.00000.wav,0.0827,0.0533,0.5002,0.7806,0.7555
mix:metal,metal.00001.wav,0.1713,0.0400,0.4937,0.8102,0.8900
mix:metal,metal.00002.wav,0.1150,0.0174,0.5203,0.6595,0.8985
mix:metal,metal.00003.wav,0.1815,0.0345,0.5484,0.7621,0.7665
mix:metal,metal.00004.wav,0.2164,0.0740,0.5414,0.3422,0.4401
mix:metal,metal.00005.wav,0.0684,0.0222,0.5542,0.8518,0.9131
mix:metal,metal.00006.wav,0.0756,0.0717,0.5309,0.6847,0.9360
mix:metal,metal.00007.wav,0.0789,0.0360,0.4925,0.7206,0.6288
mix:metal,metal.00008.wav,0.0616,0.0507,0.5381,0.6256,0.6874
mix:metal,metal.00009.wav,0.2755,0.0160,0.4800,0.5765,0.5743
mix:metal,metal.00010.wav,0.0224,0.0640,0.5261,0.6450,0.7318
mix:metal,metal.00011.wav,0.0764,0.0286,0.4688,0.7516,0.9291
mix:metal,metal.00012.wav,0.1331,0.0369,0.5027,0.6272,0.7312
mix:metal,metal.00013.wav,0.1241,0.0586,0.5236,0.3912,0.4291
mix:metal,metal.00014.wav,0.0629,0.0389,0.4786,0.7086,0.8589
mix:metal,metal.00015.wav,0.0285,0.0565,0.5038,0.6791,0.7416
mix:metal,metal.00016.wav,0.0607,0.0334,0.5604,0.8416,0.8856
mix:metal,metal.00017.wav,0.1134,0.0411,0.5645,0.8176,0.8304
mix:metal,metal.00018.wav,0.0539,0.0112,0.5508,0.4865,0.3577
mix:metal,metal.00019.wav,0.0723,0.0435,0.5969,0.6814,0.7116
mix:pop,pop.00000.wav,0.5202,0.0283,0.5360,0.7776,0.8336
mix:pop,pop.00001.wav,0.4154,0.0568,0.6670,0.6658,0.7120
mix:pop,pop.00002.wav,0.2736,0.0345,0.6056,0.8475,0.8885
mix:pop,pop.00003.wav,0.2355,0.0084,0.5028,0.6576,0.8943
mix:pop,pop.00004.wav,0.1531,0.0278,0.5182,0.8131,0.9209
mix:pop,pop.00005.wav,0.0637,0.0132,0.4678,0.8080,0.8754
mix:pop,pop.00006.wav,0.1531,0.0214,0.4821,0.8333,0.9046
mix:pop,pop.00007.wav,0.1846,0.0102,0.4251,0.5091,0.6564
mix:pop,pop.00008.wav,0.2162,0.0445,0.5009,0.7911,0.8885
mix:pop,pop.00009.wav,0.1729,0.0482,0.5888,0.5358,0.7399
mix:pop,pop.00010.wav,0.1737,0.0118,0.4463,0.8262,0.9636
mix:pop,pop.00011.wav,0.0007,0.0136,0.3459,0.5180,0.9114
mix:pop,pop.00012.wav,0.0585,0.0283,0.5549,0.8682,0.8943
mix:pop,pop.00013.wav,0.3163,0.0151,0.4446,0.7176,0.8880
mix:pop,pop.00014.wav,0.1170,0.0100,0.5062,0.6584,0.7008
mix:pop,pop.00015.wav,0.2112,0.0449,0.6507,0.7639,0.8651
mix:pop,pop.00016.wav,0.1797,0.0673,0.6789,0.7953,0.9566
mix:pop,pop.00017.wav,0.2427,0.0332,0.4786,0.7795,0.8598
mix:pop,pop.00018.wav,0.3092,0.0508,0.6033,0.6949,0.8084
mix:pop,pop.00019.wav,0.0869,0.0547,0.6156,0.8291,0.8148
mix:reggae,reggae.00000.wav,0.1270,0.0166,0.5437,0.7723,0.8171
mix:reggae,reggae.00001.wav,0.0220,0.0050,0.4752,0.8863,0.9190
mix:reggae,reggae.00002.wav,0.0961,0.0084,0.6526,0.4033,0.8597
mix:reggae,reggae.00003.wav,0.1978,0.0081,0.5508,0.9687,0.8618
mix:reggae,reggae.00004.wav,0.3117,0.0107,0.6147,0.8023,0.7793
mix:reggae,reggae.00005.wav,0.2097,0.0048,0.6132,0.7031,0.4885
mix:reggae,reggae.00006.wav,0.1145,0.0024,0.5103,0.7800,0.8498
mix:reggae,reggae.00007.wav,0.2116,0.0059,0.5830,0.8384,0.8892
mix:reggae,reggae.00008.wav,0.1361,0.0053,0.5719,0.7588,0.7878
mix:reggae,reggae.00009.wav,0.4233,0.0106,0.5877,0.7441,0.8784
mix:reggae,reggae.00010.wav,0.0001,0.0324,0.4702,0.7579,0.9470
mix:reggae,reggae.00011.wav,0.2476,0.0095,0.6345,0.6999,0.8516
mix:reggae,reggae.00012.wav,0.2557,0.0148,0.6566,0.8546,0.5659
mix:reggae,reggae.00013.wav,0.1665,0.0078,0.6382,0.6449,0.7185
mix:reggae,reggae.00014.wav,0.4991,0.0059,0.5908,0.8082,0.8996
mix:reggae,reggae.00015.wav,0.1656,0.0133,0.5750,0.8671,0.8453
mix:reggae,reggae.00016.wav,0.2957,0.0175,0.5478,0.8740,0.9136
mix:reggae,reggae.00017.wav,0.4238,0.0050,0.5810,0.6497,0.8982
mix:reggae,reggae.00018.wav,0.2137,0.0110,0.6122,0.8209,0.9094
mix:reggae,reggae.00019.wav,0.2343,0.0082,0.6102,0.8022,0.8588
mix:rock,rock.00000.wav,0.0760,0.0136,0.4593,0.6667,0.5726
mix:rock,rock.00001.wav,0.1195,0.0024,0.3890,0.7167,0.7670
mix:rock,rock.00002.wav,0.1729,0.0085,0.6357,0.4173,0.3938
mix:rock,rock.00003.wav,0.1963,0.0060,0.4943,0.5885,0.8015
mix:rock,rock.00004.wav,0.0796,0.0064,0.4275,0.7119,0.8607
mix:rock,rock.00005.wav,0.0584,0.0045,0.3945,0.8490,0.8158
mix:rock,rock.00006.wav,0.0193,0.0027,0.4455,0.5769,0.7615
mix:rock,rock.00007.wav,0.1132,0.0037,0.3936,0.6548,0.7302
mix:rock,rock.00008.wav,0.0349,0.0051,0.4168,0.5253,0.7042
mix:rock,rock.00009.wav,0.1202,0.0049,0.4101,0.8085,0.8276
mix:rock,rock.00010.wav,0.0558,0.0132,0.5313,0.6832,0.8167
mix:rock,rock.00011.wav,0.0719,0.0086,0.4397,0.6530,0.9046
mix:rock,rock.00012.wav,0.1315,0.0159,0.6799,0.8372,0.7976
mix:rock,rock.00013.wav,0.3898,0.0093,0.5059,0.6874,0.8587
mix:rock,rock.00014.wav,0.0613,0.0235,0.6569,0.6849,0.7626
mix:rock,rock.00015.wav,0.2695,0.0222,0.6441,0.7198,0.5243
